,District,GR,GR_%,SP,SP_%,AKD,AKD_%,Turnout,Valid_2019,2018_Registered,Majority,Excess
0,Anuradhapura,327288,57.78,200457,35.39,38687,6.83,0.83,566433,682450,126831,44071.5
1,Badulla,278315,50.98,231651,42.43,35977,6.59,0.83,545945,657766,46664,5342.5
2,Batticaloa,37742,13.35,244088,86.31,961,0.34,0.71,282793,398301,-206346,-103654.5
3,Colombo,656006,47.32,613550,44.25,116876,8.43,0.83,1386434,1670403,42456,-37211.0
4,Digamadulla,125389,32.32,253063,65.24,9465,2.44,0.77,387918,503790,-127674,-68570.0
5,Galle,427904,60.03,239381,33.59,45474,6.38,0.83,712761,858749,188523,71523.5
6,Gampaha,782549,53.82,559993,38.51,111527,7.67,0.83,1454070,1751892,222556,55514.0
7,Hambantota,242673,59.47,129436,31.72,35950,8.81,0.84,408060,485786,113237,38643.0
8,Jaffna,44001,14.03,267073,85.16,2540,0.81,0.66,313616,475176,-223072,-112807.0
9,Kilinochi,8931,14.05,54150,85.18,489,0.77,0.71,63571,89538,-45219,-22854.5
10,Kalutara,457315,56.33,303032,37.33,51469,6.34,0.85,811817,955079,154283,51406.5
11,Kandy,438922,47.56,444515,48.17,39405,4.27,0.83,922843,1111860,-5593,-22499.5
12,Kegalle,315131,55.46,230178,40.51,22898,4.03,0.84,568209,676440,84953,31026.5
13,Kurunegala,636205,57.56,407875,36.9,61234,5.54,0.83,1105315,1331705,228330,83547.5
14,Matara,335843,62.02,166186,30.69,39475,7.29,0.83,541506,652417,169657,65090.0
15,Matale,178255,54.14,135135,41.05,15835,4.81,0.82,329226,401496,43120,13642.0
16,Monaragala,192117,62.4,95381,30.98,20381,6.62,0.84,307880,366524,96736,38177.0
17,Nuwara Eliya,153760,33.36,295398,64.09,11753,2.55,0.81,460912,569028,-141638,-76696.0
18,Polonnaruwa,159810,58.28,101239,36.92,13162,4.8,0.84,274212,326443,58571,22704.0
19,Puttalam,224313,50.6,202930,45.78,16047,3.62,0.74,443291,599042,21383,2667.5
20,Ratnapura,433330,58.94,266756,36.28,35144,4.78,0.85,735231,864978,166574,65714.5
21,Trincomalee,55069,25.44,157101,72.58,4285,1.98,0.77,216457,281114,-102032,-53159.5
22,Mannar,6099,10.03,54676,89.94,18,0.03,0.68,60794,89403,-48577,-24298.0
23,Vavuniya,14836,18.33,64544,79.72,1578,1.95,0.69,80959,117333,-49708,-25643.5
24,Mulativu,9817,18.09,44072,81.2,385,0.71,0.72,54275,75383,-34255,-17320.5
